Titre,Prix promo (€),Prix original (€),Marge estimée (€),Réduction (%),Tailles,Lien
"Manteau Carhartt Super Dux - Traditionnel, Isolé, Décontracté, Noir, Tailles du XS au XL",83.99,209.99,126.0,60.0,,https://www.dealabs.com/bons-plans/manteau-carhartt-traditionnel-isole-decontracte-super-dux-femme-taille-xs-xl-3404930
"Chaussures de football Adidas Copa Mundial FG - Cuir, crampons moulés, noir/blanc, Plusieurs tailles disponibles",89.99,179.99,90.0,,"39.0, 46.0",https://www.dealabs.com/bons-plans/chaussures-de-football-adidas-copa-mundial-fg-adulte-cuir-crampons-moules-noirblanc-3405033
