Titre,Prix promo (€),Prix original (€),Marge estimée (€),Réduction (%),Tailles,Lien
"Chaussures Nike Air Jordan 5 Retro OG ""White Metallic"" - Tailles 44 et 44,5",126.74,211.23,84.49,40.0,44.0,https://www.dealabs.com/bons-plans/chaussures-nike-air-jordan-5-retro-og-white-metallic-tailles-44-et-445-3412670
"Chaussures Nike Air Jordan 6 Retro ""Oreo"" - Tailles dispos 42, 44, 45, 46 & 47",157.49,209.99,52.5,25.0,,https://www.dealabs.com/bons-plans/chaussures-nike-air-jordan-6-retro-oreo-tailles-dispos-42-44-45-46-47-3412665
"[Membres Plus Star, Shine ou Light] Chaussures Running Asics Novablast 6 - Tailles 40 à 50.5",108.76,159.95,51.19,20.0,40.0,https://www.dealabs.com/bons-plans/asics-novablast-6-chaussures-running-homme-midnightenergy-aqua-autres-couleurs-disponibles-du-40-au-505-3412685
